CosteSocial,CosteEmocional,RiesgoIngreso,testApgar5,partoInstrumental,testCoombsIsoRHHijo,Terapia1,Utility
0,0,3,0,1,1,3,0.7181011
0,0,3,1,0,0,0,0.6314699
0,0,3,1,0,0,1,0.7230358
0,0,3,1,0,0,2,0.7232939
0,0,3,1,0,0,3,0.7181011
0,0,3,1,0,1,0,0.6314699
0,0,3,1,0,1,1,0.7230358
0,0,3,1,0,1,2,0.7232939
0,0,3,1,0,1,3,0.7181011
0,0,3,1,1,0,0,0.6314699
0,0,3,1,1,0,1,0.7230358
0,0,3,1,1,0,2,0.7232939
0,0,3,1,1,0,3,0.7181011
0,0,3,1,1,1,0,0.6314699
0,0,3,1,1,1,1,0.7230358
0,0,3,1,1,1,2,0.7232939
0,0,3,1,1,1,3,0.7181011
0,0,3,2,0,0,0,0.6314699
0,0,3,2,0,0,1,0.7230358
0,0,3,2,0,0,2,0.7232939
0,0,3,2,0,0,3,0.7181011
0,0,3,2,0,1,0,0.6314699
0,0,3,2,0,1,1,0.7230358
0,0,3,2,0,1,2,0.7232939
0,0,3,2,0,1,3,0.7181011
0,0,3,2,1,0,0,0.6314699
0,0,3,2,1,0,1,0.7230358
0,0,3,2,1,0,2,0.7232939
0,0,3,2,1,0,3,0.7181011
0,0,3,2,1,1,0,0.6314699
0,0,3,2,1,1,1,0.7230358
0,0,3,2,1,1,2,0.7232939
0,0,3,2,1,1,3,0.7181011
0,1,0,0,0,0,0,0.7446761
0,1,0,0,0,0,1,0.7456413
0,1,0,0,0,0,2,0.724971
0,1,0,0,0,0,3,0.7170873
0,1,0,0,0,1,0,0.7446761
0,1,0,0,0,1,1,0.7456413
0,1,0,0,0,1,2,0.724971
0,1,0,0,0,1,3,0.7170873
0,1,0,0,1,0,0,0.7446761
0,1,0,0,1,0,1,0.7456413
0,1,0,0,1,0,2,0.724971
0,1,0,0,1,0,3,0.7170873
0,1,0,0,1,1,0,0.7446761
0,1,0,0,1,1,1,0.7456413
0,1,0,0,1,1,2,0.724971
0,1,0,0,1,1,3,0.7170873
0,1,0,1,0,0,0,0.7446761
0,1,0,1,0,0,1,0.7456413
0,1,0,1,0,0,2,0.724971
0,1,0,1,0,0,3,0.7170873
0,1,0,1,0,1,0,0.7446761
0,1,0,1,0,1,1,0.7456413
0,1,0,1,0,1,2,0.724971
0,1,0,1,0,1,3,0.7170873
0,1,0,1,1,0,0,0.7446761
0,1,0,1,1,0,1,0.7456413
0,1,0,1,1,0,2,0.724971
0,1,0,1,1,0,3,0.7170873
0,1,0,1,1,1,0,0.7446761
0,1,0,1,1,1,1,0.7456413
0,1,0,1,1,1,2,0.724971
0,1,0,1,1,1,3,0.7170873
0,1,0,2,0,0,0,0.7446761
0,1,0,2,0,0,1,0.7456413
0,1,0,2,0,0,2,0.724971
0,1,0,2,0,0,3,0.7170873
0,1,0,2,0,1,0,0.7446761
0,1,0,2,0,1,1,0.7456413
0,1,0,2,0,1,2,0.724971
0,1,0,2,0,1,3,0.7170873
0,1,0,2,1,0,0,0.7446761
0,1,0,2,1,0,1,0.7456413
0,1,0,2,1,0,2,0.724971
0,1,0,2,1,0,3,0.7170873
0,1,0,2,1,1,0,0.7446761
0,1,0,2,1,1,1,0.7456413
0,1,0,2,1,1,2,0.724971
0,1,0,2,1,1,3,0.7170873
0,1,1,0,0,0,0,0.6963608
0,1,1,0,0,0,1,0.7425733
0,1,1,0,0,0,2,0.7667437
0,1,1,0,0,0,3,0.7757588
0,1,1,0,0,1,0,0.6963608
0,1,1,0,0,1,1,0.7425733
0,1,1,0,0,1,2,0.7667437
0,1,1,0,0,1,3,0.7757588
0,1,1,0,1,0,0,0.6963608
0,1,1,0,1,0,1,0.7425733
0,1,1,0,1,0,2,0.7667437
0,1,1,0,1,0,3,0.7757588
0,1,1,0,1,1,0,0.6963608
0,1,1,0,1,1,1,0.7425733
0,1,1,0,1,1,2,0.7667437
0,1,1,0,1,1,3,0.7757588
0,1,1,1,0,0,0,0.6963608
0,1,1,1,0,0,1,0.7425733
0,1,1,1,0,0,2,0.7667437
0,1,1,1,0,0,3,0.7757588
0,1,1,1,0,1,0,0.6963608
0,1,1,1,0,1,1,0.7425733
0,1,1,1,0,1,2,0.7667437
0,1,1,1,0,1,3,0.7757588
0,1,1,1,1,0,0,0.6963608
0,1,1,1,1,0,1,0.7425733
0,1,1,1,1,0,2,0.7667437
0,1,1,1,1,0,3,0.7757588
0,1,1,1,1,1,0,0.6963608
0,1,1,1,1,1,1,0.7425733
0,1,1,1,1,1,2,0.7667437
0,1,1,1,1,1,3,0.7757588
0,1,1,2,0,0,0,0.6963608
0,1,1,2,0,0,1,0.7425733
0,1,1,2,0,0,2,0.7667437
0,1,1,2,0,0,3,0.7757588
0,1,1,2,0,1,0,0.6963608
0,1,1,2,0,1,1,0.7425733
0,1,1,2,0,1,2,0.7667437
0,1,1,2,0,1,3,0.7757588
0,1,1,2,1,0,0,0.6963608
0,1,1,2,1,0,1,0.7425733
0,1,1,2,1,0,2,0.7667437
0,1,1,2,1,0,3,0.7757588
0,1,1,2,1,1,0,0.6963608
0,1,1,2,1,1,1,0.7425733
0,1,1,2,1,1,2,0.7667437
0,1,1,2,1,1,3,0.7757588
